EntryID,MouseID,AAV,AgeTreated,AgeHarvested,Tissue,Route,gRNA1indel,gRNA2indel
Sample001,M1,AAV8,8week,16week,TA,IM,0.02763,0.02317
Sample002,M2,AAV8,8week,16week,TA,IM,0.02723,0.02845
Sample003,M3,AAV8,8week,16week,TA,IM,0.02505,0.02496
Sample004,M4,AAV8,8week,16week,TA,IM,0.02719,0.02209
Sample005,M5,AAV8,8week,16week,TA,IM,0.02429,0.02361
Sample006,M6,AAV8,8week,16week,TA,IM,0.03227,0.01755
Sample007,M7,AAV8,8week,6mo,TA,IM,0.007120842,0.004830137
Sample008,M8,AAV8,8week,6mo,TA,IM,0.028620743,0.025963044
Sample009,M9,AAV8,8week,6mo,TA,IM,0.008486856,0.007822705
Sample010,M10,AAV8,8week,6mo,TA,IM,0.001008846,0.002245745
Sample011,M11,AAV8,8week,6mo,TA,IM,0.006628087,0.008829805
Sample012,M12,AAV9,8week,16week,LIV,IV,0.006185112,0.0040808
Sample013,M13,AAV9,8week,16week,LIV,IV,0.00228833,0.001031194
Sample014,M14,AAV9,8week,16week,LIV,IV,0.002982993,0.002079733
Sample015,M12,AAV9,8week,16week,H,IV,0.003225976,0.005173329
Sample016,M13,AAV9,8week,16week,H,IV,0.002214695,0.006623211
Sample017,M14,AAV9,8week,16week,H,IV,0.003622865,0.010739423
Sample018,M12,AAV9,8week,16week,TA,IV,5.20012E-05,1.5029E-05
Sample019,M13,AAV9,8week,16week,TA,IV,6.8631E-05,0
Sample020,M14,AAV9,8week,16week,TA,IV,7.90347E-05,3.7201E-05
Sample021,M12,AAV9,8week,16week,DIA,IV,3.56132E-05,0.000662218
Sample022,M13,AAV9,8week,16week,DIA,IV,0.000110183,0
Sample023,M14,AAV9,8week,16week,DIA,IV,0.000119954,1.79077E-05
Sample024,M15,AAV8,8week,16week,LIV,IV,0.010712109,0.003892821
Sample025,M16,AAV8,8week,16week,LIV,IV,0.022179824,0.008175803
Sample026,M17,AAV8,8week,16week,LIV,IV,0.034883721,0.019799924
Sample027,M15,AAV8,8week,16week,H,IV,NA,0.022115874
Sample028,M16,AAV8,8week,16week,H,IV,0.043614839,0.032713458
